,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,age,SLG,AVG,ISO
48,abreubo01,2009.0,1,LAA,AL,152,563.0,96,165.0,29.0,3.0,15.0,103.0,30.0,8.0,94,113.0,7.0,1.0,0.0,9.0,15.0,35.0,0.5186500888099467,0.29307282415630553,0.22557726465364114
49,abreubo01,2010.0,1,LAA,AL,154,573.0,88,146.0,41.0,1.0,20.0,78.0,24.0,10.0,87,132.0,3.0,2.0,0.0,5.0,13.0,36.0,0.5427574171029669,0.2547993019197208,0.2879581151832461
50,abreubo01,2011.0,1,LAA,AL,142,502.0,54,127.0,30.0,1.0,8.0,60.0,21.0,5.0,78,113.0,5.0,1.0,1.0,3.0,8.0,37.0,0.44223107569721115,0.25298804780876494,0.1892430278884462
51,abreujo02,2014.0,1,CHA,AL,145,556.0,80,176.0,35.0,2.0,36.0,107.0,3.0,1.0,51,131.0,15.0,11.0,0.0,4.0,14.0,27.0,0.7122302158273381,0.31654676258992803,0.3956834532374101
52,abreujo02,2015.0,1,CHA,AL,154,613.0,88,178.0,34.0,3.0,30.0,101.0,0.0,0.0,39,140.0,11.0,15.0,0.0,1.0,16.0,28.0,0.6117455138662317,0.2903752039151713,0.32137030995106036
53,abreujo02,2016.0,1,CHA,AL,159,624.0,67,183.0,32.0,1.0,25.0,100.0,0.0,2.0,47,125.0,7.0,15.0,0.0,9.0,21.0,29.0,0.5608974358974359,0.2932692307692308,0.2676282051282051
54,abreujo02,2017.0,1,CHA,AL,156,621.0,95,189.0,43.0,6.0,33.0,102.0,3.0,0.0,35,119.0,6.0,15.0,0.0,4.0,21.0,30.0,0.6843800322061192,0.30434782608695654,0.38003220611916266
55,abreujo02,2018.0,1,CHA,AL,128,499.0,68,132.0,36.0,1.0,22.0,78.0,2.0,0.0,37,109.0,7.0,11.0,0.0,6.0,14.0,31.0,0.591182364729459,0.26452905811623245,0.3266533066132265
56,ackledu01,2011.0,1,SEA,AL,90,333.0,39,91.0,16.0,7.0,6.0,36.0,6.0,0.0,40,79.0,1.0,0.0,0.0,3.0,3.0,23.0,0.5045045045045045,0.2732732732732733,0.23123123123123118
57,ackledu01,2012.0,1,SEA,AL,153,607.0,84,137.0,22.0,2.0,12.0,50.0,13.0,3.0,59,124.0,7.0,0.0,1.0,1.0,3.0,24.0,0.3871499176276771,0.2257001647446458,0.1614497528830313
58,ackledu01,2013.0,1,SEA,AL,113,384.0,40,97.0,18.0,2.0,4.0,31.0,2.0,3.0,37,72.0,1.0,1.0,4.0,1.0,6.0,25.0,0.4036458333333333,0.2526041666666667,0.15104166666666663
59,ackledu01,2014.0,1,SEA,AL,143,502.0,64,123.0,27.0,4.0,14.0,65.0,8.0,4.0,32,90.0,1.0,3.0,3.0,2.0,10.0,26.0,0.48804780876494025,0.2450199203187251,0.24302788844621515
60,acunaro01,2018.0,1,ATL,NL,111,433.0,78,127.0,26.0,4.0,26.0,64.0,16.0,5.0,45,123.0,2.0,6.0,0.0,3.0,4.0,21.0,0.6812933025404158,0.29330254041570436,0.3879907621247114
61,adairje01,1961.0,1,BAL,AL,133,386.0,41,102.0,21.0,1.0,9.0,37.0,5.0,2.0,35,51.0,4.0,2.0,1.0,4.0,6.0,25.0,0.4740932642487047,0.26424870466321243,0.20984455958549225
62,adairje01,1962.0,1,BAL,AL,139,538.0,67,153.0,29.0,4.0,11.0,48.0,7.0,7.0,27,77.0,1.0,2.0,4.0,3.0,15.0,26.0,0.4962825278810409,0.2843866171003718,0.2118959107806691
63,adairje01,1963.0,1,BAL,AL,109,382.0,34,87.0,21.0,3.0,6.0,30.0,3.0,3.0,9,51.0,2.0,2.0,3.0,5.0,17.0,27.0,0.42408376963350786,0.22774869109947643,0.19633507853403143
64,adairje01,1964.0,1,BAL,AL,155,569.0,56,141.0,20.0,3.0,9.0,47.0,3.0,2.0,28,72.0,10.0,1.0,4.0,3.0,20.0,28.0,0.39718804920913886,0.2478031634446397,0.14938488576449915
65,adairje01,1965.0,1,BAL,AL,157,582.0,51,151.0,26.0,3.0,7.0,66.0,6.0,4.0,35,65.0,7.0,2.0,4.0,2.0,26.0,29.0,0.41237113402061853,0.25945017182130586,0.15292096219931267
66,adairje01,1966.0,2,CHA,AL,105,370.0,27,90.0,18.0,2.0,4.0,36.0,3.0,2.0,17,44.0,0.0,1.0,9.0,5.0,14.0,30.0,0.4,0.24324324324324326,0.15675675675675677
67,adairje01,1967.0,2,BOS,AL,89,316.0,41,92.0,13.0,1.0,3.0,26.0,1.0,4.0,13,35.0,0.0,2.0,4.0,2.0,10.0,31.0,0.4208860759493671,0.2911392405063291,0.129746835443038
68,adairje01,1968.0,1,BOS,AL,74,208.0,18,45.0,1.0,0.0,2.0,12.0,0.0,0.0,9,28.0,2.0,1.0,6.0,0.0,10.0,32.0,0.2644230769230769,0.21634615384615385,0.04807692307692307
69,adairje01,1969.0,1,KCA,AL,126,432.0,29,108.0,9.0,1.0,5.0,48.0,1.0,3.0,20,36.0,4.0,3.0,2.0,4.0,24.0,33.0,0.3449074074074074,0.25,0.09490740740740738
70,adamecr01,2016.0,1,COL,NL,121,225.0,25,49.0,7.0,3.0,2.0,17.0,2.0,3.0,24,47.0,0.0,4.0,3.0,0.0,5.0,25.0,0.35555555555555557,0.21777777777777776,0.1377777777777778
71,adamewi01,2018.0,1,TBA,AL,85,288.0,43,80.0,7.0,0.0,10.0,34.0,6.0,5.0,31,95.0,3.0,1.0,1.0,2.0,6.0,23.0,0.4652777777777778,0.2777777777777778,0.1875
72,adamsgl01,1977.0,1,MIN,AL,95,269.0,32,91.0,17.0,0.0,6.0,49.0,0.0,2.0,18,30.0,3.0,0.0,0.0,3.0,5.0,30.0,0.5539033457249071,0.3382899628252788,0.21561338289962828
73,adamsgl01,1978.0,1,MIN,AL,116,310.0,27,80.0,18.0,1.0,7.0,35.0,0.0,1.0,17,32.0,0.0,0.0,2.0,0.0,10.0,31.0,0.47419354838709676,0.25806451612903225,0.2161290322580645
74,adamsgl01,1979.0,1,MIN,AL,119,326.0,34,98.0,13.0,1.0,8.0,50.0,2.0,2.0,25,27.0,0.0,3.0,1.0,6.0,3.0,32.0,0.48773006134969327,0.3006134969325153,0.18711656441717794
75,adamsgl01,1980.0,1,MIN,AL,99,262.0,32,75.0,11.0,2.0,6.0,38.0,2.0,4.0,15,26.0,1.0,0.0,6.0,4.0,11.0,33.0,0.4847328244274809,0.2862595419847328,0.1984732824427481
76,adamsgl01,1981.0,1,MIN,AL,72,220.0,13,46.0,10.0,0.0,2.0,24.0,0.0,1.0,20,26.0,4.0,0.0,0.0,2.0,10.0,34.0,0.33636363636363636,0.20909090909090908,0.1272727272727273
77,adamsma01,2013.0,1,SLN,NL,108,296.0,46,84.0,14.0,0.0,17.0,51.0,0.0,1.0,23,80.0,0.0,0.0,0.0,0.0,9.0,25.0,0.6081081081081081,0.28378378378378377,0.32432432432432434
78,adamsma01,2014.0,1,SLN,NL,142,527.0,55,152.0,34.0,5.0,15.0,68.0,3.0,2.0,26,114.0,5.0,3.0,0.0,7.0,9.0,26.0,0.5597722960151803,0.2884250474383302,0.2713472485768501
79,adamsma01,2016.0,1,SLN,NL,118,297.0,37,74.0,18.0,0.0,16.0,54.0,0.0,1.0,25,81.0,1.0,2.0,0.0,3.0,5.0,28.0,0.5858585858585859,0.24915824915824916,0.3367003367003367
80,adamsma01,2017.0,2,ATL,NL,100,291.0,42,79.0,20.0,1.0,19.0,58.0,0.0,0.0,19,71.0,5.0,1.0,0.0,3.0,5.0,29.0,0.6804123711340206,0.27147766323024053,0.4089347079037801
81,adamsma01,2018.0,1,WAS,NL,94,249.0,37,64.0,9.0,0.0,18.0,48.0,0.0,0.0,24,55.0,2.0,4.0,0.0,0.0,6.0,30.0,0.6184738955823293,0.2570281124497992,0.3614457831325302
82,adamsru01,2005.0,1,TOR,AL,139,481.0,68,123.0,27.0,5.0,8.0,63.0,11.0,2.0,50,57.0,1.0,3.0,3.0,8.0,5.0,25.0,0.4656964656964657,0.25571725571725573,0.20997920997921
83,adamsru01,2006.0,1,TOR,AL,90,251.0,31,55.0,14.0,1.0,3.0,28.0,1.0,2.0,22,41.0,0.0,1.0,3.0,3.0,5.0,26.0,0.3904382470119522,0.21912350597609562,0.17131474103585656
84,adcocjo01,1955.0,1,ML1,NL,84,288.0,40,76.0,14.0,0.0,15.0,45.0,0.0,2.0,31,44.0,3.0,2.0,2.0,1.0,13.0,28.0,0.5694444444444444,0.2638888888888889,0.3055555555555555
85,adcocjo01,1956.0,1,ML1,NL,137,454.0,76,132.0,23.0,1.0,38.0,103.0,1.0,0.0,32,86.0,6.0,1.0,11.0,2.0,11.0,29.0,0.7334801762114538,0.2907488986784141,0.4427312775330397
86,adcocjo01,1957.0,1,ML1,NL,65,209.0,31,60.0,13.0,2.0,12.0,38.0,0.0,0.0,20,51.0,3.0,1.0,0.0,1.0,7.0,30.0,0.6698564593301436,0.28708133971291866,0.38277511961722493
87,adcocjo01,1958.0,1,ML1,NL,105,320.0,40,88.0,15.0,1.0,19.0,54.0,0.0,0.0,21,63.0,1.0,1.0,2.0,5.0,14.0,31.0,0.615625,0.275,0.34062499999999996
88,adcocjo01,1959.0,1,ML1,NL,115,404.0,53,118.0,19.0,2.0,25.0,76.0,0.0,0.0,32,77.0,6.0,0.0,2.0,6.0,8.0,32.0,0.6485148514851485,0.29207920792079206,0.3564356435643565
89,adcocjo01,1960.0,1,ML1,NL,138,514.0,55,153.0,21.0,4.0,25.0,91.0,2.0,2.0,46,86.0,7.0,1.0,5.0,4.0,13.0,33.0,0.5972762645914397,0.29766536964980544,0.29961089494163423
90,adcocjo01,1961.0,1,ML1,NL,152,562.0,77,160.0,20.0,0.0,35.0,108.0,2.0,1.0,59,94.0,4.0,2.0,4.0,2.0,22.0,34.0,0.604982206405694,0.2846975088967972,0.3202846975088968
91,adcocjo01,1962.0,1,ML1,NL,121,391.0,48,97.0,12.0,1.0,29.0,78.0,2.0,0.0,50,91.0,8.0,1.0,2.0,3.0,18.0,35.0,0.6138107416879796,0.24808184143222506,0.3657289002557545
92,adcocjo01,1963.0,1,CLE,AL,97,283.0,28,71.0,7.0,1.0,13.0,49.0,1.0,2.0,30,53.0,4.0,0.0,1.0,3.0,7.0,36.0,0.49469964664310956,0.2508833922261484,0.24381625441696114
93,adcocjo01,1964.0,1,LAA,AL,118,366.0,39,98.0,13.0,0.0,21.0,64.0,0.0,2.0,48,61.0,4.0,0.0,0.0,1.0,13.0,37.0,0.5683060109289617,0.2677595628415301,0.30054644808743164
94,adcocjo01,1965.0,1,CAL,AL,122,349.0,30,84.0,14.0,0.0,14.0,47.0,2.0,2.0,37,74.0,3.0,1.0,0.0,0.0,10.0,38.0,0.4813753581661891,0.24068767908309455,0.24068767908309455
95,adcocjo01,1966.0,1,CAL,AL,83,231.0,33,63.0,10.0,3.0,18.0,48.0,2.0,2.0,31,48.0,6.0,0.0,0.0,3.0,11.0,39.0,0.70995670995671,0.2727272727272727,0.4372294372294373
96,adriaeh01,2018.0,1,MIN,AL,114,335.0,42,84.0,23.0,1.0,6.0,39.0,5.0,1.0,24,82.0,2.0,1.0,4.0,2.0,4.0,29.0,0.46865671641791046,0.2507462686567164,0.21791044776119406
97,agbaybe01,1999.0,1,NYN,NL,101,276.0,42,79.0,18.0,3.0,14.0,42.0,6.0,4.0,32,60.0,4.0,3.0,0.0,3.0,8.0,28.0,0.6521739130434783,0.286231884057971,0.36594202898550726
98,agbaybe01,2000.0,1,NYN,NL,119,350.0,59,101.0,19.0,1.0,15.0,60.0,5.0,5.0,54,68.0,2.0,7.0,0.0,3.0,6.0,29.0,0.5771428571428572,0.2885714285714286,0.2885714285714286
99,agbaybe01,2001.0,1,NYN,NL,91,296.0,28,82.0,14.0,2.0,6.0,27.0,4.0,5.0,36,73.0,0.0,5.0,1.0,1.0,11.0,30.0,0.47297297297297297,0.27702702702702703,0.19594594594594594
100,ageeto01,1966.0,1,CHA,AL,160,629.0,98,172.0,27.0,8.0,22.0,86.0,44.0,18.0,41,127.0,3.0,10.0,5.0,4.0,17.0,24.0,0.5373608903020668,0.27344992050874406,0.26391096979332274
101,ageeto01,1967.0,1,CHA,AL,158,529.0,73,124.0,26.0,2.0,14.0,52.0,28.0,10.0,44,129.0,5.0,8.0,1.0,2.0,14.0,25.0,0.4499054820415879,0.23440453686200377,0.21550094517958415
102,ageeto01,1968.0,1,NYN,NL,132,368.0,30,80.0,12.0,3.0,5.0,17.0,13.0,8.0,15,103.0,3.0,4.0,3.0,1.0,8.0,26.0,0.36141304347826086,0.21739130434782608,0.14402173913043478
103,ageeto01,1969.0,1,NYN,NL,149,565.0,97,153.0,23.0,4.0,26.0,76.0,12.0,9.0,59,137.0,2.0,3.0,6.0,2.0,5.0,27.0,0.5575221238938053,0.27079646017699116,0.2867256637168141
104,ageeto01,1970.0,1,NYN,NL,153,636.0,107,182.0,30.0,7.0,24.0,75.0,31.0,15.0,55,156.0,3.0,2.0,1.0,2.0,11.0,28.0,0.5644654088050315,0.2861635220125786,0.2783018867924529
105,ageeto01,1971.0,1,NYN,NL,113,425.0,58,121.0,19.0,0.0,14.0,50.0,28.0,6.0,50,84.0,2.0,2.0,4.0,1.0,12.0,29.0,0.5058823529411764,0.2847058823529412,0.22117647058823525
106,ageeto01,1972.0,1,NYN,NL,114,422.0,52,96.0,23.0,0.0,13.0,47.0,8.0,9.0,53,92.0,6.0,4.0,1.0,3.0,18.0,30.0,0.4597156398104265,0.22748815165876776,0.23222748815165875
107,ageeto01,1973.0,1,HOU,NL,83,204.0,30,48.0,5.0,2.0,8.0,15.0,2.0,5.0,16,55.0,1.0,1.0,0.0,0.0,4.0,31.0,0.47058823529411764,0.23529411764705882,0.23529411764705882
108,aguaylu01,1987.0,1,PHI,NL,94,209.0,25,43.0,9.0,1.0,12.0,21.0,0.0,0.0,15,56.0,1.0,5.0,3.0,2.0,5.0,28.0,0.5358851674641149,0.20574162679425836,0.3301435406698565
109,aguilje01,2017.0,1,MIL,NL,133,279.0,40,74.0,15.0,2.0,16.0,52.0,0.0,0.0,25,94.0,1.0,4.0,0.0,3.0,8.0,27.0,0.6236559139784946,0.26523297491039427,0.35842293906810035
110,aguilje01,2018.0,1,MIL,NL,149,492.0,80,135.0,25.0,0.0,35.0,108.0,0.0,0.0,58,143.0,3.0,6.0,0.0,10.0,19.0,28.0,0.6605691056910569,0.27439024390243905,0.3861788617886178
111,ahmedni01,2015.0,1,ARI,NL,134,421.0,49,95.0,17.0,6.0,9.0,34.0,4.0,5.0,29,81.0,1.0,1.0,5.0,3.0,4.0,25.0,0.4346793349168646,0.22565320665083136,0.20902612826603326
112,ahmedni01,2016.0,1,ARI,NL,90,284.0,26,62.0,9.0,1.0,4.0,20.0,5.0,2.0,15,58.0,3.0,4.0,2.0,3.0,9.0,26.0,0.3485915492957746,0.21830985915492956,0.13028169014084506
113,ahmedni01,2018.0,1,ARI,NL,153,516.0,61,121.0,33.0,5.0,16.0,70.0,5.0,4.0,40,109.0,2.0,2.0,1.0,5.0,15.0,28.0,0.5155038759689923,0.23449612403100775,0.28100775193798455
114,aikenwi01,1979.0,1,CAL,AL,116,379.0,59,106.0,18.0,0.0,21.0,81.0,1.0,3.0,61,79.0,8.0,1.0,0.0,6.0,10.0,25.0,0.5963060686015831,0.2796833773087071,0.31662269129287596
115,aikenwi01,1980.0,1,KCA,AL,151,543.0,70,151.0,24.0,0.0,20.0,98.0,1.0,0.0,64,88.0,3.0,7.0,0.0,9.0,23.0,26.0,0.5138121546961326,0.27808471454880296,0.23572744014732966
116,aikenwi01,1981.0,1,KCA,AL,101,349.0,45,93.0,16.0,0.0,17.0,53.0,0.0,0.0,62,47.0,12.0,3.0,0.0,5.0,11.0,27.0,0.5530085959885387,0.2664756446991404,0.28653295128939826
117,aikenwi01,1982.0,1,KCA,AL,134,466.0,50,131.0,29.0,1.0,17.0,74.0,0.0,1.0,45,70.0,7.0,3.0,0.0,5.0,19.0,28.0,0.5579399141630901,0.2811158798283262,0.2768240343347639
118,aikenwi01,1983.0,1,KCA,AL,125,410.0,49,124.0,26.0,1.0,23.0,72.0,0.0,0.0,45,75.0,9.0,2.0,0.0,1.0,16.0,29.0,0.6609756097560976,0.3024390243902439,0.3585365853658537
